cell_type	cancer_type	taxa	rho	rho_p	tau	tau_p	rho_padj	tau_padj	r.sqr	r.sqr.adj	pval	padj	ci.lower	ci.upper	sigma	sigma.flag	stabsel_prob	stabsel_pass
Macrophages	BLCA	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Sutterella	0.391822297	0	0.264109609	1.75E-15	0	1.71E-12	0.68546124	0.639257806	0.000580469	0.06825353	0.03093057	0.112819208	0.60569543	0	0.98	TRUE
Macrophages	BLCA	k__Archaea.p__Crenarchaeota.c__Thermoprotei.o__Desulfurococcales.f__Desulfurococcaceae.g__Ignicoccus	0.260296841	1.11E-07	0.175028141	1.34E-07	4.12E-05	5.00E-05	0.68546124	0.639257806	0.000268314	0.037859128	0.067869906	0.225839856	0.60569543	0	0.65	TRUE
Macrophages	BLCA	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Acetobacteraceae.g__Saccharibacter	-0.276842983	1.56E-08	-0.187930429	1.49E-08	6.60E-06	6.48E-06	0.68546124	0.639257806	4.26E-05	0.010012808	-0.25626663	-0.090307942	0.60569543	0	0.97	TRUE
Macrophages	BLCA	k__Bacteria.p__Firmicutes.c__Tissierellia.o__Tissierellales.f__Peptoniphilaceae.g__Parvimonas	0.371170946	1.16E-14	0.250698975	4.23E-14	1.06E-11	3.73E-11	0.68546124	0.639257806	1.70E-07	7.99E-05	0.100263358	0.22047094	0.60569543	0	0.97	TRUE
Macrophages_M1	BLCA	k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Lymphocryptovirus	0.19043549	0.000113992	0.128768715	0.000104601	0.008547429	0.008457998	0.588516109	0.558035821	1.16E-05	0.004084776	0.046246341	0.12098996	0.606929492	0	0.82	TRUE
Macrophages_M1	BLCA	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.391646797	0	0.269410925	4.76E-16	0	5.17E-13	0.588516109	0.558035821	8.25E-05	0.023281927	0.019955042	0.059520199	0.606929492	0	1	TRUE
Macrophages_M1	BLCA	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.431931741	0	0.295772261	5.02E-19	0	1.18E-15	0.588516109	0.558035821	3.81E-11	5.37E-08	0.094305293	0.173780864	0.606929492	0	1	TRUE
Macrophages_M1	BLCA	k__Archaea.p__Crenarchaeota.c__Thermoprotei.o__Desulfurococcales.f__Desulfurococcaceae.g__Ignicoccus	0.235363357	1.69E-06	0.157768606	2.00E-06	0.000431906	0.000494568	0.588516109	0.558035821	0.000100196	0.023562688	0.077942116	0.236233918	0.606929492	0	0.76	TRUE
Macrophages_M1	BLCA	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Acetobacteraceae.g__Saccharibacter	-0.288188019	3.75E-09	-0.194974643	4.24E-09	1.87E-06	2.08E-06	0.588516109	0.558035821	0.000509624	0.062014766	-0.230597268	-0.064300451	0.606929492	0	0.95	TRUE
Macrophages_M1	BLCA	k__Bacteria.p__Firmicutes.c__Tissierellia.o__Tissierellales.f__Peptoniphilaceae.g__Parvimonas	0.335737531	4.72E-12	0.227145641	7.70E-12	3.30E-09	5.24E-09	0.588516109	0.558035821	1.23E-06	0.00057986	0.08881434	0.209266837	0.606929492	0	0.98	TRUE
Macrophages_M1	BLCA	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Listeriaceae.g__Listeria	-0.300641056	7.32E-10	-0.204245894	7.56E-10	3.97E-07	4.22E-07	0.588516109	0.558035821	0.000159226	0.028083552	-0.709494286	-0.224648174	0.606929492	0	0.96	TRUE
Macrophages_M2	BLCA	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.398670008	0	0.280546108	2.84E-17	0	4.33E-14	0.644283077	0.592030873	4.36E-09	3.08E-06	0.049587269	0.099302934	0.762638292	0	1	TRUE
Macrophages_M2	BLCA	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.426179927	0	0.291318188	1.67E-18	0	3.37E-15	0.644283077	0.592030873	1.43E-11	2.01E-08	0.12216344	0.222028604	0.762638292	0	1	TRUE
Macrophages_M2	BLCA	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Acetobacteraceae.g__Saccharibacter	-0.252883649	2.57E-07	-0.170089929	2.98E-07	8.69E-05	0.000101914	0.644283077	0.592030873	0.000245339	0.079271146	-0.299962035	-0.091001484	0.762638292	0	0.82	TRUE
Macrophages_M2	BLCA	k__Bacteria.p__Firmicutes.c__Tissierellia.o__Tissierellales.f__Peptoniphilaceae.g__Parvimonas	0.35927538	1.02E-13	0.242541243	2.71E-13	8.76E-11	2.29E-10	0.644283077	0.592030873	6.72E-06	0.003159469	0.098169452	0.249524243	0.762638292	0	0.95	TRUE
Monocytes	BLCA	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Collimonas	0.393489549	0	0.265852507	1.14E-15	0	1.15E-12	0.411753334	0.373154472	1.77E-06	0.00249607	0.007996515	0.019119123	0.070214851	0	1	TRUE
NK_cells	BLCA	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.305968893	3.55E-10	0.206690793	4.74E-10	2.00E-07	2.67E-07	0.358823073	0.32560147	7.50E-05	0.035296319	0.005254674	0.015555028	0.158007421	0	0.86	TRUE
NK_cells	BLCA	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.406635331	0	0.275365827	1.07E-16	0	1.44E-13	0.358823073	0.32560147	8.64E-16	1.22E-12	0.032117195	0.052807786	0.158007421	0	1	TRUE
NK_cells	BLCA	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Domibacillus	-0.190259633	0.000115689	-0.127752024	0.000118587	0.008575849	0.008983962	0.358823073	0.32560147	2.52E-05	0.017748969	-0.043911077	-0.016028567	0.158007421	0	0.72	TRUE
Other	BLCA	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	-0.396519508	0	-0.281223902	2.38E-17	0	3.74E-14	0.722321931	0.685091351	3.18E-06	0.00112229	-0.075272948	-0.030692522	0.683863714	0	0.99	TRUE
Other	BLCA	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	-0.393955888	0	-0.265223127	1.34E-15	0	1.32E-12	0.722321931	0.685091351	7.84E-10	5.53E-07	-0.185228279	-0.095678406	0.683863714	0	1	TRUE
Other	BLCA	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Sutterella	-0.480312832	0	-0.329056777	3.59E-23	0	1.69E-19	0.722321931	0.685091351	2.88E-06	0.00112229	-0.156595872	-0.064139061	0.683863714	0	0.99	TRUE
Other	BLCA	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Acetobacteraceae.g__Saccharibacter	0.297967615	1.05E-09	0.203204996	9.21E-10	5.57E-07	5.00E-07	0.722321931	0.685091351	3.58E-05	0.007214284	0.103878145	0.291254703	0.683863714	0	0.97	TRUE
Other	BLCA	k__Bacteria.p__Firmicutes.c__Tissierellia.o__Tissierellales.f__Peptoniphilaceae.g__Parvimonas	-0.367887526	2.17E-14	-0.250916837	4.02E-14	1.95E-11	3.61E-11	0.722321931	0.685091351	2.02E-05	0.004758977	-0.215434355	-0.079713331	0.683863714	0	0.96	TRUE
Other	BLCA	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae.g__Terrabacter	-0.346159857	9.16E-13	-0.239176481	5.74E-13	6.80E-10	4.50E-10	0.722321931	0.685091351	1.12E-14	1.58E-11	-0.627080155	-0.37326851	0.683863714	0	0.81	TRUE
Other	BLCA	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Collimonas	-0.473581706	0	-0.325837257	9.45E-23	0	4.10E-19	0.722321931	0.685091351	0.000563967	0.066313078	-0.149462819	-0.041133203	0.683863714	0	0.96	TRUE
Plasma_B_cells	BLCA	k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Lymphocryptovirus	0.218846939	8.81E-06	0.148957287	7.19E-06	0.001569528	0.00139453	0.579167336	0.533174695	2.20E-05	0.010328991	0.097042404	0.263592309	1.352410419	0	0.92	TRUE
Plasma_B_cells	BLCA	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.312677236	1.40E-10	0.214703284	9.86E-11	8.31E-08	6.05E-08	0.579167336	0.533174695	0.00014123	0.029133623	0.041518942	0.129681293	1.352410419	0	0.95	TRUE
Plasma_B_cells	BLCA	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.283403059	6.89E-09	0.190181673	1.00E-08	3.13E-06	4.57E-06	0.579167336	0.533174695	3.04E-05	0.010482449	0.09987792	0.27697195	1.352410419	0	0.94	TRUE
Plasma_B_cells	BLCA	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae.g__Terrabacter	0.362305517	6.02E-14	0.251667252	3.38E-14	5.30E-11	3.08E-11	0.579167336	0.533174695	3.88E-20	5.48E-17	0.925953076	1.427891556	1.352410419	0	1	TRUE
T_cells	BLCA	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.420060738	0	0.298798126	2.20E-19	0	5.64E-16	0.601192502	0.563569153	6.31E-09	4.45E-06	0.054060702	0.109127035	0.844717524	0	1	TRUE
T_cells	BLCA	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.49274006	0	0.335665267	4.80E-24	0	2.96E-20	0.601192502	0.563569153	4.16E-26	5.87E-23	0.242924979	0.353538169	0.844717524	0	1	TRUE
T_cells	BLCA	k__Bacteria.p__Acidobacteria.c__Holophagae.o__Holophagales.f__Holophagaceae.g__Holophaga	-0.153232122	0.001954105	-0.103956621	0.001736013	0.03119052	0.030666841	0.601192502	0.563569153	2.17E-05	0.007665056	-0.246292008	-0.090732839	0.844717524	0	0.75	TRUE
T_helpers	BLCA	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae.g__Terrabacter	0.244124877	6.18E-07	0.164992254	6.67E-07	0.000185519	0.000199066	0.222216285	0.181916611	2.16E-06	0.003049619	0.073424715	0.177040427	0.279179567	0	0.88	TRUE
Tregs	BLCA	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.402223619	0	0.285992665	6.87E-18	0	1.25E-14	0.44524076	0.418004518	2.14E-11	1.51E-08	0.098926659	0.180804765	1.256010111	0	1	TRUE
Tregs	BLCA	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.427178819	0	0.286646252	5.78E-18	0	1.09E-14	0.44524076	0.418004518	2.33E-15	3.29E-12	0.250160645	0.414631348	1.256010111	0	1	TRUE
B_cells	BRCA	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.261250242	3.28E-18	0.176701956	3.31E-18	2.40E-15	2.46E-15	0.450141059	0.418935757	1.77E-06	0.000624012	0.023128874	0.055299544	0.868606164	0	1	TRUE
B_cells	BRCA	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.295168484	2.55E-23	0.199859527	7.52E-23	3.60E-20	1.06E-19	0.450141059	0.418935757	7.49E-12	5.28E-09	0.099650796	0.179565623	0.868606164	0	1	TRUE
B_cells	BRCA	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Rhodanobacteraceae.g__Luteibacter	0.207508052	6.28E-12	0.13911673	7.40E-12	2.69E-09	3.16E-09	0.450141059	0.418935757	4.78E-06	0.001350012	0.188708694	0.47168517	0.868606164	0	0.8	TRUE
B_cells	BRCA	k__Bacteria.p__Firmicutes.c__Tissierellia.o__Tissierellales.f__Peptoniphilaceae.g__Parvimonas	0.118852188	9.06E-05	0.079857471	8.43E-05	0.009118751	0.008678197	0.450141059	0.418935757	9.72E-06	0.002284699	0.09275566	0.240351584	0.868606164	0	0.72	TRUE
B_cells	BRCA	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae.g__Terrabacter	0.311638898	0	0.213064035	9.52E-26	0	1.73E-22	0.450141059	0.418935757	1.08E-42	1.52E-39	0.525083207	0.70046776	0.868606164	0	1	TRUE
CD4_T_cells	BRCA	k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Simplexvirus	-0.167267553	3.32E-08	-0.113574537	2.24E-08	8.40E-06	5.81E-06	0.601636921	0.545689414	0.000252852	0.039641557	-0.135402211	-0.040948237	0.932891093	0	0.8	TRUE
CD4_T_cells	BRCA	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Tropicibacter	0.166228736	4.04E-08	0.113427211	2.34E-08	1.00E-05	6.03E-06	0.601636921	0.545689414	3.91E-06	0.001103443	0.053573822	0.132638052	0.932891093	0	0.79	TRUE
CD4_T_cells	BRCA	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.289275056	2.84E-22	0.196512146	3.82E-22	3.34E-19	4.69E-19	0.601636921	0.545689414	2.42E-05	0.005699473	0.019936606	0.054488204	0.932891093	0	1	TRUE
CD4_T_cells	BRCA	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.391648033	0	0.269136945	4.41E-40	0	1.38E-36	0.601636921	0.545689414	2.63E-25	3.70E-22	0.184680679	0.270509946	0.932891093	0	1	TRUE
CD4_T_cells	BRCA	k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Candidatus_Stoquefichus	0.186742211	6.61E-10	0.124856957	7.86E-10	2.17E-07	2.55E-07	0.601636921	0.545689414	0.00020077	0.035410766	0.072929657	0.235538116	0.932891093	0	0.85	TRUE
CD4_T_cells	BRCA	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Rhodanobacteraceae.g__Luteibacter	0.274986249	4.26E-20	0.186178778	4.86E-20	3.94E-17	4.43E-17	0.601636921	0.545689414	4.67E-11	3.29E-08	0.358288257	0.662207623	0.932891093	0	0.93	TRUE
CD4_T_cells	BRCA	k__Bacteria.p__Firmicutes.c__Tissierellia.o__Tissierellales.f__Peptoniphilaceae.g__Parvimonas	0.196453958	7.97E-11	0.133723918	4.57E-11	2.98E-08	1.75E-08	0.601636921	0.545689414	0.000481043	0.04848231	0.061918003	0.220437397	0.932891093	0	0.92	TRUE
CD4_T_cells	BRCA	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae.g__Terrabacter	0.21199101	2.15E-12	0.14197074	2.74E-12	9.57E-10	1.20E-09	0.601636921	0.545689414	6.26E-08	2.95E-05	0.165840874	0.354205515	0.932891093	0	0.89	TRUE
CD4_T_cells	BRCA	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Collimonas	0.096289748	0.001533169	0.063966835	0.001635374	0.065307197	0.068932399	0.601636921	0.545689414	8.71E-07	0.000307376	0.092648299	0.215396369	0.932891093	0	0.67	TRUE
CD8_T_cells	BRCA	k__Viruses.f__Flaviviridae.g__Flavivirus	0.136521089	6.79E-06	0.091225546	7.07E-06	0.001094689	0.001117101	0.480299794	0.450268146	0.000173339	0.024458203	0.055645571	0.177161952	0.796990354	0	0.66	TRUE
CD8_T_cells	BRCA	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Tropicibacter	0.187791013	5.29E-10	0.127543084	3.39E-10	1.75E-07	1.14E-07	0.480299794	0.450268146	8.36E-07	0.000295069	0.051120695	0.118667088	0.796990354	0	0.98	TRUE
CD8_T_cells	BRCA	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.274068362	5.75E-20	0.188076884	2.04E-20	5.24E-17	2.05E-17	0.480299794	0.450268146	1.30E-06	0.000367066	0.021684836	0.051203063	0.796990354	0	0.98	TRUE
CD8_T_cells	BRCA	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.409832591	0	0.285349642	7.70E-45	0	3.62E-41	0.480299794	0.450268146	1.41E-33	1.99E-30	0.189231822	0.262557742	0.796990354	0	1	TRUE
CD8_T_cells	BRCA	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Rhodanobacteraceae.g__Luteibacter	0.279111681	1.07E-20	0.188248193	1.88E-20	1.11E-17	1.93E-17	0.480299794	0.450268146	5.16E-14	3.64E-11	0.368792139	0.628437455	0.796990354	0	1	TRUE
CD8_T_cells	BRCA	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Streptosporangiales.f__Nocardiopsaceae.g__Nocardiopsis	-0.10516099	0.000537338	-0.070832905	0.000487385	0.031656978	0.03036206	0.480299794	0.450268146	0.000443999	0.044748788	-0.189540264	-0.053771207	0.796990354	0	0.7	TRUE
CD8_T_cells	BRCA	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Intrasporangiaceae.g__Terrabacter	0.271325937	1.40E-19	0.183811286	1.42E-19	1.20E-16	1.22E-16	0.480299794	0.450268146	2.71E-11	1.27E-08	0.193012831	0.353937083	0.796990354	0	1	TRUE
CD8_T_cells	BRCA	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Hyphomonadaceae.g__Hyphomonas	0.154508293	3.43E-07	0.106958577	1.39E-07	7.33E-05	3.12E-05	0.480299794	0.450268146	9.62E-06	0.001939856	0.037572423	0.097309347	0.796990354	0	0.93	TRUE
CD8_T_cells_PD1_high	BRCA	k__Viruses.f__Flaviviridae.g__Flavivirus	0.131479699	1.47E-05	0.088107719	1.44E-05	0.002151692	0.002095294	0.467476949	0.437805577	9.16E-05	0.012926264	0.058225473	0.175161336	0.766948075	0	0.65	TRUE
CD8_T_cells_PD1_high	BRCA	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Tropicibacter	0.190139262	3.19E-10	0.1290369	2.11E-10	1.11E-07	7.38E-08	0.467476949	0.437805577	6.75E-07	0.000238017	0.049887463	0.114887718	0.766948075	0	0.98	TRUE
CD8_T_cells_PD1_high	BRCA	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.279083191	1.08E-20	0.191736047	3.71E-21	1.11E-17	4.10E-18	0.467476949	0.437805577	8.81E-07	0.000248717	0.021423896	0.049829443	0.766948075	0	1	TRUE
CD8_T_cells_PD1_high	BRCA	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.414195949	0	0.289111591	5.54E-46	0	3.47E-42	0.467476949	0.437805577	1.12E-33	1.58E-30	0.18244434	0.253006265	0.766948075	0	1	TRUE
